Game Hit,Hit Created At,Hit ID,ExitSpeed (MPH),Angle,Direction,SpinRate,Distance (Feet),Spin Direction,ContactPositionX (Inches),ContactPositionY (Inches),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,Hitter Last Name,Device Serial Number,Flagged
19,01-20-2025 21:53,1737410025,79.2,16,-13,918,186,9:8,0,0,2092.00000,10:8,2092.00000,11:6,Test,Player,MTD-211138B0950,false
18,01-20-2025 21:53,1737410001,74.1,55,26,0,214,0:0,0,0,2926.00000,0:34,2926.00000,0:54,Test,Player,MTD-211138B0950,false
17,01-20-2025 21:52,1737409971,85.9,36,-4,2694,328,1:22,0,0,1897.00000,11:22,1897.00000,0:14,Test,Player,MTD-211138B0950,false
16,01-20-2025 21:52,1737409963,55.1,-4,5,0,17,0:0,0,0,2774.00000,6:30,2774.00000,4:22,Test,Player,MTD-211138B0950,false
15,01-20-2025 21:52,1737409949,65.1,-8,-15,2452,17,4:42,0,0,2240.00000,7:54,2240.00000,6:30,Test,Player,MTD-211138B0950,false
14,01-20-2025 21:50,1737409828,87.0,34,-2,1211,342,1:2,0,0,1786.00000,11:24,1786.00000,0:20,Test,Player,MTD-211138B0950,false
13,01-20-2025 21:50,1737409814,67.6,-19,-2,334,8,8:18,0,0,2550.00000,6:36,2550.00000,5:36,Test,Player,MTD-211138B0950,false
12,01-20-2025 21:50,1737409803,45.0,-15,1,0,8,0:0,0,0,858.00000,6:30,858.00000,5:18,Test,Player,MTD-211138B0950,false
11,01-20-2025 21:49,1737409797,62.1,45,39,0,191,0:0,0,0,3084.00000,1:12,3084.00000,1:18,Test,Player,MTD-211138B0950,false
10,01-20-2025 21:49,1737409774,57.9,-4,-33,1207,21,5:12,0,0,1924.00000,8:42,1924.00000,7:38,Test,Player,MTD-211138B0950,false
9,01-20-2025 21:49,1737409765,65.4,-15,-1,1898,8,6:10,0,0,1042.00000,6:38,1042.00000,5:28,Test,Player,MTD-211138B0950,false
8,01-20-2025 21:49,1737409754,82.1,22,-13,0,270,0:0,0,0,792.00000,10:32,792.00000,11:30,Test,Player,MTD-211138B0950,false
7,01-20-2025 21:48,1737409727,58.4,21,-19,1506,147,2:34,0,0,1974.00000,10:16,1974.00000,10:46,Test,Player,MTD-211138B0950,false
6,01-20-2025 21:48,1737409713,38.4,46,39,0,93,0:0,0,0,2786.00000,1:10,2786.00000,1:16,Test,Player,MTD-211138B0950,false
5,01-20-2025 21:48,1737409684,67.8,-47,-3,1491,5,6:6,0,0,1865.00000,6:20,1865.00000,5:50,Test,Player,MTD-211138B0950,false
4,01-20-2025 21:47,1737409668,85.3,30,6,0,336,0:0,0,0,2019.00000,11:48,2019.00000,0:48,Test,Player,MTD-211138B0950,false
3,01-20-2025 21:47,1737409654,85.2,24,9,0,333,0:0,0,0,2912.00000,0:0,2912.00000,1:10,Test,Player,MTD-211138B0950,false
2,01-20-2025 21:47,1737409631,51.1,-23,-43,643,6,8:14,0,0,1536.00000,8:2,1536.00000,7:10,Test,Player,MTD-211138B0950,false
1,01-20-2025 21:46,1737409565,62.1,-35,0,1299,7,3:8,0,0,1992.00000,6:16,1992.00000,5:38,Test,Player,MTD-211138B0950,false
